id	fieldname	score	t_begin	t_end	details	dir
1035.12	id1035_gearS12	8.1	1633	1770	Arteon-id35-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\35_sync.mat
1035.23	id1035_gearS23	8.6	2183	2350	Arteon-id35-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\35_sync.mat
1036.12	id1036_gearS12	7.9	616	750	Arteon-id36-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\36_sync.mat
1036.23	id1036_gearS23	8.4	941	1120	Arteon-id36-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\36_sync.mat
1036.34	id1036_gearS34	8.5	1446	1620	Arteon-id36-gearS34	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\36_sync.mat
1038.12	id1038_gearS12	7.1	3051	3180	Arteon-id38-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\38_sync.mat
1038.23	id1038_gearS23	7.6	3411	3550	Arteon-id38-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\38_sync.mat
1039.12	id1039_gearS12	7.1	4997	5120	Arteon-id39-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\39_sync.mat
1039.23	id1039_gearS23	7.2	5367	5510	Arteon-id39-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\39_sync.mat
1040.12	id1040_gearS12	8.0	5974	6120	Arteon-id40-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\40_sync.mat
1041.12	id1041_gearS12	8.0	5964	6140	Arteon-id41-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\41_sync.mat
1041.23	id1041_gearS23	7.8	6399	6520	Arteon-id41-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\41_sync.mat
1042.12	id1042_gearS12	7.5	1234	1350	Arteon-id42-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\42_sync.mat
1042.23	id1042_gearS23	7.6	1674	1800	Arteon-id42-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\42_sync.mat
1044.12	id1044_gearS12	5.8	1190	1320	Arteon-id44-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\44_sync.mat
1044.23	id1044_gearS23	7.6	1580	1700	Arteon-id44-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\44_sync.mat
1045.12	id1045_gearS12	8.0	7457	7582	Arteon-id45-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\45_sync.mat
